epoch,acc,loss,lr,val_acc,val_loss
0,0.31,1.8723033738136292,0.01,0.33,3.8567464637756346
1,0.41875,1.62467227101326,0.01,0.24,3.0052980899810793
2,0.43625,1.5375878298282624,0.01,0.52,1.679155352115631
3,0.475,1.4794044148921968,0.01,0.48,1.6082684326171874
4,0.5125,1.361506741642952,0.01,0.49,1.8593095684051513
5,0.5375,1.3169799113273621,0.01,0.43,2.3681872510910034
6,0.55875,1.25092254281044,0.01,0.58,1.6037655186653137
7,0.59125,1.1925458315014839,0.01,0.64,1.0326561403274537
8,0.5775,1.1818327832221984,0.01,0.52,1.6552882075309754
9,0.62125,1.122108870446682,0.01,0.55,1.2873653554916382
10,0.64875,1.040873408317566,0.01,0.47,1.75100341796875
11,0.64875,0.9911253723502159,0.01,0.65,1.209704847931862
12,0.68375,0.9190706032514572,0.01,0.62,1.6134146041423083
13,0.675,0.9270788353681564,0.01,0.34,3.798290343284607
14,0.7,0.8825499626994133,0.01,0.59,1.4484596699476242
15,0.68625,0.8996257849037648,0.01,0.47,2.013234692066908
16,0.6775,0.9321034698188305,0.01,0.61,1.5128151845932007
17,0.725,0.8381688508391381,0.01,0.63,1.28904292345047
18,0.71375,0.8366828200221061,0.01,0.69,0.8572837620973587
19,0.73875,0.7523326861858368,0.01,0.72,0.7868881219625473
20,0.7675,0.677216811478138,0.01,0.77,0.9070135825872421
21,0.77875,0.6245990273356438,0.01,0.5,1.5521323013305663
22,0.7675,0.662410655617714,0.01,0.71,0.9128693175315857
23,0.79625,0.6262700662016869,0.01,0.83,0.804687369465828
24,0.785,0.6203177738189697,0.01,0.67,1.243903170377016
25,0.78875,0.636803774330765,0.01,0.55,2.0056929033994675
26,0.79,0.6164521784335375,0.01,0.75,1.0131987345218658
27,0.81375,0.5454637402668595,0.01,0.8,0.8830751377344132
28,0.795,0.592351921275258,0.01,0.76,0.7377582812309265
29,0.83,0.514845654591918,0.01,0.71,0.7772324585914612
30,0.81875,0.5452901757881046,0.01,0.77,0.8637378196418285
31,0.82875,0.5094995258003473,0.01,0.64,1.0578950691223143
32,0.845,0.4695333722233772,0.01,0.63,1.3794102668762207
33,0.855,0.46661163300275804,0.01,0.81,0.580594399869442
34,0.8525,0.4237249704822898,0.01,0.8,0.9909412759542465
35,0.845,0.4441765160486102,0.01,0.59,2.0808767753839494
36,0.85625,0.46626153610646726,0.01,0.55,2.414901404380798
37,0.84375,0.41384443555027245,0.01,0.64,1.3038887301087378
38,0.83,0.4963398206233978,0.01,0.67,1.1278001648187637
39,0.8475,0.44397289495915176,0.01,0.61,1.4750820483267306
40,0.8775,0.3671311341971159,0.01,0.8,0.6952516013383865
41,0.89375,0.349665060993284,0.01,0.57,1.7282491862773894
42,0.87,0.38138387888669967,0.01,0.76,0.8673080112040042
43,0.90125,0.3174587211292237,0.01,0.8,0.6670521467924118
44,0.88,0.37092629410326483,0.01,0.71,1.0051784193515778
45,0.89875,0.3192982516810298,0.01,0.71,0.8482559728622436
46,0.8975,0.3221866938471794,0.01,0.73,1.0070855379104615
47,0.8875,0.3304579691728577,0.01,0.84,0.38179074704647065
48,0.92875,0.20990864565595985,0.005,0.9,0.30422058910131455
49,0.9375,0.21844786406494676,0.005,0.82,0.5169870509207248
50,0.9425,0.21549270274117588,0.005,0.91,0.3420923927426338
51,0.93625,0.20153564683161676,0.005,0.85,0.3891623392701149
52,0.9475,0.17906585581600665,0.005,0.86,0.38463581502437594
53,0.95875,0.16361281429417432,0.005,0.91,0.3350855360925198
54,0.95375,0.15108094481751322,0.005,0.88,0.44943797707557676
55,0.95375,0.16325121979694812,0.005,0.91,0.2964665673673153
56,0.955,0.14667907220311463,0.005,0.87,0.3228062603622675
57,0.95,0.175647143102251,0.005,0.88,0.3764491952583194
