epoch,acc,loss,lr,val_acc,val_loss
0,0.315,1.8601630425453186,0.01,0.13,7.463505535125733
1,0.38375,1.6028354752063751,0.01,0.29,4.0945696449279785
2,0.4225,1.5135149049758911,0.01,0.28,1.6005422687530517
3,0.51375,1.3630446231365203,0.01,0.31,2.5784948539733885
4,0.535,1.349915453195572,0.01,0.43,2.415147123336792
5,0.52375,1.2643077600002288,0.01,0.44,2.021728587150574
6,0.53,1.242323715388775,0.01,0.58,1.3172749757766724
7,0.56875,1.279258157014847,0.01,0.43,1.61839524269104
8,0.57875,1.2101977294683457,0.01,0.7,1.0827848172187806
9,0.61625,1.1313556829094886,0.01,0.43,1.9206398725509644
10,0.61125,1.134396550655365,0.01,0.41,1.884660792350769
11,0.66125,0.9903004720807076,0.01,0.24,3.2134314823150634
12,0.62875,1.0162240913510323,0.01,0.53,1.6190509963035584
13,0.6725,0.9682254594564438,0.01,0.49,1.907249503135681
14,0.64375,0.9677536976337433,0.01,0.62,0.9802363276481628
15,0.715,0.8680535131692886,0.01,0.47,2.4651167833805085
16,0.6775,0.9297381477057933,0.01,0.36,2.29934907913208
17,0.67875,0.9067263711988925,0.01,0.4,1.8032283687591553
18,0.66625,0.8988699775934219,0.01,0.71,0.7563701915740967
19,0.70625,0.8629810613393784,0.01,0.5,1.7412777948379516
20,0.72625,0.8439859153330326,0.01,0.54,1.5743633699417114
21,0.72875,0.775053651034832,0.01,0.58,1.3165005874633788
22,0.75,0.7461465457081795,0.01,0.67,0.980728268623352
23,0.76,0.6766090394556522,0.01,0.57,1.7857196807861329
24,0.7525,0.67901677146554,0.01,0.47,2.1485245847702026
25,0.75,0.7331820207834244,0.01,0.62,1.1606351017951966
26,0.76,0.723978526443243,0.01,0.47,2.743425478935242
27,0.7675,0.7006718838214874,0.01,0.66,1.0670879316329955
28,0.83125,0.56049446888268,0.005,0.8,0.6446705460548401
29,0.84,0.5073355324566364,0.005,0.83,0.5287775015830993
30,0.8375,0.5159949408471585,0.005,0.72,0.6904703247547149
31,0.84375,0.5138672534376383,0.005,0.9,0.42643250346183775
32,0.8675,0.4611051093786955,0.005,0.86,0.5202012014389038
33,0.85,0.43146362572908403,0.005,0.84,0.43539150595664977
34,0.84625,0.4521979180723429,0.005,0.79,0.5488729460537434
35,0.86625,0.4253856686502695,0.005,0.89,0.5356218153238297
36,0.87875,0.4075521633774042,0.005,0.85,0.5167598479986191
37,0.86375,0.41272720027714965,0.005,0.84,0.44694114208221436
38,0.86875,0.40129658818244934,0.005,0.82,0.4735715126991272
39,0.87375,0.41358882524073126,0.005,0.78,0.6987928694486618
40,0.9,0.33383391305804255,0.005,0.83,0.5848589491844177
41,0.88125,0.36839732695370914,0.005,0.81,0.6401883149147034
42,0.89,0.33639902584254744,0.005,0.85,0.6640065813064575
43,0.89875,0.3315537691488862,0.005,0.83,0.6362975224852562
44,0.9075,0.3024452346935868,0.005,0.91,0.35058712393045427
45,0.91,0.3081752482056618,0.005,0.77,0.6097824263572693
46,0.90375,0.32520446738228204,0.005,0.86,0.6248558139801026
47,0.90625,0.2948444881662726,0.005,0.85,0.6075937628746033
48,0.90875,0.2896135579235852,0.005,0.82,0.6499043616652489
49,0.88875,0.3284187094680965,0.005,0.76,0.6374907159805298
50,0.9075,0.23705939300358295,0.005,0.83,0.5350355288386345
51,0.89625,0.3181772730872035,0.005,0.9,0.4002790153026581
52,0.93125,0.23860192487947643,0.005,0.82,0.4566420727968216
53,0.91375,0.2719726276770234,0.005,0.78,0.6303122401237488
54,0.9125,0.2601729756128043,0.005,0.84,0.46187317043542864
55,0.95375,0.1881947784870863,0.0025,0.91,0.37328616380691526
56,0.965,0.14319748845882713,0.0025,0.88,0.4384959417581558
57,0.96875,0.1278472181316465,0.0025,0.92,0.2762244001030922
58,0.96,0.14005169697105885,0.0025,0.87,0.2915041801333427
59,0.95625,0.17166740861721336,0.0025,0.86,0.5071294730901719
60,0.97875,0.12466178133152425,0.0025,0.94,0.2171325156092644
61,0.9725,0.12228440955281257,0.0025,0.92,0.21973141834139823
62,0.97,0.13566126726102085,0.0025,0.9,0.3764339876174927
63,0.97125,0.13314199043437838,0.0025,0.94,0.27912708818912507
64,0.97125,0.11678582975873723,0.0025,0.91,0.3797612994909286
65,0.96375,0.1420488100964576,0.0025,0.86,0.34204976409673693
66,0.97,0.1263468167837709,0.0025,0.95,0.24569822803139688
67,0.95875,0.13266916766762735,0.0025,0.94,0.23069894537329674
68,0.9725,0.10918798186350614,0.0025,0.87,0.2618354620039463
69,0.97625,0.10397500602994114,0.0025,0.88,0.4941455680131912
70,0.97125,0.11318717968650162,0.0025,0.9,0.39869883507490156
71,0.96875,0.09782156564295291,0.0025,0.95,0.2793913984298706
72,0.975,0.08877056735102087,0.0025,0.89,0.3623943930864334
73,0.97625,0.10090857529663481,0.0025,0.95,0.17997567221522331
74,0.9675,0.11166993228252978,0.0025,0.88,0.2611370448768139
75,0.97625,0.09990383988246322,0.0025,0.91,0.31091935029253365
76,0.9725,0.10721294550225138,0.0025,0.89,0.30790344268083575
77,0.985,0.0840176519472152,0.00125,0.94,0.2553600221127272
78,0.98625,0.0710641843592748,0.00125,0.94,0.21222281247377395
79,0.99,0.06575757849495859,0.00125,0.96,0.1826874976605177
80,0.98125,0.07730720602092334,0.00125,0.91,0.20600029408931733
81,0.98875,0.06512382726185023,0.00125,0.95,0.18668244179338217
82,0.99,0.056093710993882266,0.00125,0.94,0.1946274394541979
83,0.9925,0.054007629272527995,0.00125,0.92,0.291855541728437
84,0.98375,0.0633564146887511,0.00125,0.92,0.20286493930965663
85,0.98125,0.056988074453547595,0.00125,0.95,0.17348189473152162
