epoch,acc,loss,lr,val_acc,val_loss
0,0.35375,1.8110460460186004,0.01,0.22,6.655973129272461
1,0.425,1.5596701806783677,0.01,0.22,5.1035706901550295
2,0.47875,1.4610065853595733,0.01,0.39,1.998973445892334
3,0.5,1.3773896485567092,0.01,0.55,1.6021258068084716
4,0.5075,1.3589350473880768,0.01,0.47,1.628702664375305
5,0.565,1.2328277856111527,0.01,0.54,1.4439280605316163
6,0.55625,1.2278320628404618,0.01,0.39,2.9089620399475096
7,0.58375,1.165533380508423,0.01,0.57,1.4191128754615783
8,0.58875,1.1188724333047866,0.01,0.37,2.379263525009155
9,0.625,1.0761039146780969,0.01,0.54,1.665684928894043
10,0.5975,1.092956276535988,0.01,0.57,1.5296087598800658
11,0.64,1.0467425855994223,0.01,0.43,1.4241545295715332
12,0.61625,1.0814728033542633,0.01,0.54,1.3201425170898438
13,0.615,1.0181294402480126,0.01,0.52,1.2366671466827392
14,0.63,0.9745572564005852,0.01,0.63,1.2144709968566894
15,0.67,0.9427731278538704,0.01,0.43,1.5062417459487916
16,0.69,0.8709380696713924,0.01,0.62,1.251375367641449
17,0.69625,0.8791542014479637,0.01,0.68,1.1585541915893556
18,0.67625,0.8991154316067695,0.01,0.57,1.5357282066345215
19,0.68375,0.8716313317418098,0.01,0.49,1.9636174297332765
20,0.7225,0.7832798528671264,0.01,0.65,1.129841935634613
21,0.75375,0.7250576648116112,0.01,0.49,1.3653437566757203
22,0.74,0.7807933203876019,0.01,0.51,1.2874472856521606
23,0.73375,0.7493955059349537,0.01,0.45,3.3445644760131836
24,0.765,0.699334673434496,0.01,0.62,1.1867550992965699
25,0.8125,0.6055969367921352,0.01,0.74,0.9939546632766724
26,0.76125,0.6464276167005301,0.01,0.62,1.2464305543899536
27,0.77875,0.6780227033793926,0.01,0.63,0.977176034450531
28,0.7925,0.6047348908334971,0.01,0.62,1.4651454710960388
29,0.80875,0.5930205591022968,0.01,0.34,2.789354009628296
30,0.8125,0.5550786297768354,0.01,0.67,1.3103568530082703
31,0.805,0.5694340620934963,0.01,0.57,1.0907946634292602
32,0.82375,0.5371455369889736,0.01,0.63,1.1876855087280274
33,0.8225,0.5439559242129326,0.01,0.43,2.947655520439148
34,0.83875,0.44929639164358376,0.01,0.73,0.8871979296207428
35,0.81875,0.5358909175172448,0.01,0.73,0.8239006495475769
36,0.82125,0.4637883697077632,0.01,0.66,1.6389711809158325
37,0.83125,0.48595211789011955,0.01,0.81,0.7411818027496337
38,0.82375,0.5189898026548326,0.01,0.59,1.539455575942993
39,0.8825,0.35538809817284345,0.005,0.83,0.4626253712177277
40,0.8825,0.35735769268125295,0.005,0.75,0.8020163035392761
41,0.89625,0.3310399922542274,0.005,0.8,0.5351439929008484
