epoch,acc,loss,lr,val_acc,val_loss
0,0.35125,1.7764886844158172,0.01,0.25,6.670913543701172
1,0.41625,1.593761638402939,0.01,0.13,7.003225708007813
2,0.5075,1.4518601471185684,0.01,0.3,1.9738996696472169
3,0.5025,1.3484442675113677,0.01,0.35,2.467185211181641
4,0.5425,1.2789610743522644,0.01,0.3,2.0318115234375
5,0.55125,1.2667017543315888,0.01,0.53,1.8993429040908814
6,0.58,1.205478619337082,0.01,0.51,1.3997933197021484
7,0.5975,1.1128476589918137,0.01,0.43,2.2966475343704222
8,0.605,1.0987808552384377,0.01,0.25,4.290229778289795
9,0.61625,1.0978614866733551,0.01,0.58,1.2531171607971192
10,0.64375,1.0452393941581248,0.01,0.66,0.9485072708129882
11,0.6425,0.995172708928585,0.01,0.25,3.8682802391052244
12,0.69,0.9177773827314377,0.01,0.59,1.1211925148963928
13,0.6975,0.8951044720411301,0.01,0.45,2.2201577281951903
14,0.6875,0.8608552432060241,0.01,0.62,0.8896534419059754
15,0.71,0.8306038911640644,0.01,0.61,1.043441243171692
16,0.705,0.8436949181556702,0.01,0.62,1.3212716102600097
17,0.715,0.7725101578235626,0.01,0.35,2.381675090789795
18,0.7225,0.8038053765892983,0.01,0.41,2.0930991983413696
19,0.71875,0.7815276917815208,0.01,0.56,1.2371610403060913
20,0.75125,0.7350419773161412,0.01,0.67,1.0904602575302125
21,0.72875,0.7689741067588329,0.01,0.61,1.2443533849716186
22,0.74,0.7391215452551841,0.01,0.63,1.9009742259979248
23,0.775,0.6829051755368709,0.01,0.75,0.8435074329376221
24,0.77,0.6798205879330635,0.01,0.56,1.949816164970398
25,0.7625,0.6845088610425591,0.01,0.45,2.2258791494369508
26,0.76375,0.7373106994479894,0.01,0.57,1.7459209251403809
27,0.8025,0.6147403924167156,0.01,0.82,0.5475499522686005
28,0.77,0.7066505966335535,0.01,0.67,1.2131575167179107
29,0.80875,0.5800991906970739,0.01,0.52,1.3672261238098145
30,0.82,0.5696097841486335,0.01,0.51,1.627907190322876
31,0.8,0.5833760745078326,0.01,0.52,1.6796407651901246
32,0.81875,0.5678912480920553,0.01,0.83,0.600446058511734
33,0.79875,0.5957052849978208,0.01,0.5,1.8450729846954346
34,0.825,0.5376985955238343,0.01,0.84,0.5899931216239929
35,0.85,0.4749405900016427,0.01,0.66,1.000970303416252
36,0.8275,0.527294652685523,0.01,0.65,1.0447418642044068
37,0.83375,0.5073774272575975,0.01,0.8,0.6966546314954758
38,0.8575,0.46530486589297654,0.01,0.66,1.2232183861732482
39,0.83,0.5020419126003981,0.01,0.47,2.2379950141906737
40,0.8375,0.46687448196113107,0.01,0.71,1.199231754243374
41,0.84,0.49014863815158605,0.01,0.74,0.7085995990037918
42,0.865,0.414634106233716,0.01,0.61,1.0552422302961348
43,0.8775,0.368540396951139,0.01,0.64,1.484135181903839
44,0.86375,0.3864100917801261,0.01,0.67,1.293088006079197
45,0.86,0.4166190260648727,0.01,0.75,0.670302324295044
46,0.85,0.4412531820312142,0.01,0.41,2.3566310667991637
47,0.85375,0.41760965147987006,0.01,0.81,0.5509496527910233
48,0.91,0.28121055237948894,0.005,0.85,0.495449835062027
49,0.89875,0.3216498865559697,0.005,0.89,0.38762877866625783
50,0.9225,0.2633077593706548,0.005,0.85,0.42066183432936666
51,0.92625,0.2655073172226548,0.005,0.83,0.47112854093313217
52,0.925,0.2360767504014075,0.005,0.87,0.4572638338804245
53,0.9375,0.2147811346501112,0.005,0.9,0.2983552310615778
54,0.9175,0.2465538647212088,0.005,0.85,0.49473231464624406
55,0.9275,0.24316258859820664,0.005,0.83,0.5664619114995003
56,0.9525,0.19473603842779993,0.005,0.89,0.32701627284288404
57,0.93,0.2339421116746962,0.005,0.93,0.21066012144088744
58,0.9425,0.1707569005014375,0.005,0.91,0.28326080217957494
59,0.92875,0.21615636278875172,0.005,0.86,0.357776063978672
60,0.93625,0.1958101611956954,0.005,0.89,0.3290634217858315
61,0.955,0.1456868999172002,0.005,0.94,0.22819750636816025
62,0.93875,0.1955796894361265,0.005,0.9,0.3117678102850914
63,0.93125,0.21373378742486238,0.005,0.67,1.1425520300865173
64,0.92625,0.21337588139809668,0.005,0.82,0.5949373435974121
65,0.95625,0.1585684645990841,0.005,0.76,0.6240179538726807
66,0.9575,0.16106484712101518,0.0025,0.95,0.18114795058965683
67,0.96875,0.1339313264656812,0.0025,0.91,0.2543211069703102
68,0.96,0.1349130678921938,0.0025,0.95,0.19940121114253997
69,0.96125,0.13192834474728443,0.0025,0.93,0.23685739159584046
70,0.97875,0.09901462155859918,0.0025,0.92,0.22287765473127366
71,0.96125,0.1332837610458955,0.0025,0.92,0.2361029264330864
72,0.975,0.10966396736213938,0.0025,0.92,0.2216864338517189
73,0.9825,0.09005775077734142,0.0025,0.94,0.2244119566679001
74,0.97875,0.079990324806422,0.0025,0.93,0.2256466106325388
75,0.98,0.08674507297575473,0.0025,0.9,0.3645980469882488
76,0.97125,0.0965535765234381,0.0025,0.83,0.3668650709092617
77,0.97625,0.08287519748788327,0.0025,0.8,0.521532091498375
78,0.97375,0.10231707413215191,0.0025,0.94,0.17742078550159932
79,0.98125,0.07537410449236631,0.00125,0.94,0.19231544531881808
80,0.98125,0.07673737621866167,0.00125,0.95,0.17623140089213848
81,0.98375,0.06714558123610914,0.00125,0.97,0.1374944994226098
82,0.9825,0.06993135846452787,0.00125,0.92,0.18252930656075478
83,0.9925,0.05396499409340322,0.00125,0.96,0.164426590166986
84,0.99,0.0594056635722518,0.00125,0.95,0.187139026299119
85,0.99,0.058965814504772424,0.00125,0.96,0.18186747130006553
86,0.9875,0.06043751041870564,0.00125,0.94,0.1800665421783924
87,0.9875,0.07038008071715013,0.00125,0.94,0.17109933078289033
88,0.99375,0.056609606088604776,0.000625,0.95,0.19604071646928786
89,0.97625,0.07344267994863912,0.000625,0.93,0.18781691532582045
90,0.9925,0.05209659363841638,0.000625,0.93,0.16894891865551473
91,0.995,0.05124932146864012,0.000625,0.93,0.161863008774817
92,0.98875,0.05762213643407449,0.000625,0.95,0.17641348332166673
93,0.9875,0.06416919252369553,0.000625,0.94,0.17425162181258202
94,0.99125,0.0513114175957162,0.000625,0.93,0.1927589349448681
