epoch,acc,loss,lr,val_acc,val_loss
0,0.325,1.8475574600696563,0.01,0.21,5.705358047485351
1,0.40875,1.6224623554944992,0.01,0.19,9.483535537719726
2,0.46875,1.5187070232629776,0.01,0.27,3.634711265563965
3,0.45875,1.511662456393242,0.01,0.29,2.3395531463623045
4,0.52125,1.3779959964752198,0.01,0.39,2.5259899425506593
5,0.5225,1.3401877039670944,0.01,0.39,1.9818287563323975
6,0.54,1.3041975086927413,0.01,0.37,2.230924677848816
7,0.55875,1.2799844032526015,0.01,0.27,3.5579914093017577
8,0.58625,1.1998720243573189,0.01,0.47,1.6968192100524901
9,0.58375,1.2021949446201325,0.01,0.35,2.4308573150634767
10,0.615,1.1417184180021287,0.01,0.43,1.6494799041748047
11,0.6425,1.0935520830750465,0.01,0.54,1.4285536623001098
12,0.6375,1.0290631821751595,0.01,0.48,1.516954493522644
13,0.665,1.0146811258792878,0.01,0.5,1.805012903213501
14,0.64625,1.008493882715702,0.01,0.55,1.2324048805236816
15,0.7025,0.8835187730193138,0.01,0.42,2.907056312561035
16,0.6875,0.9511568820476533,0.01,0.58,1.2140519142150878
17,0.70375,0.8756086146831512,0.01,0.56,1.4170337057113647
18,0.71625,0.8103983181715012,0.01,0.6,1.2047876358032226
19,0.72,0.8346228763461113,0.01,0.55,2.198100891113281
20,0.72125,0.8312497347593307,0.01,0.63,1.2126007890701294
21,0.705,0.8393048828840256,0.01,0.63,1.4712712216377257
22,0.74875,0.7455646239221096,0.01,0.47,1.5921266460418702
23,0.7575,0.7315483254194259,0.01,0.58,1.513438081741333
24,0.75875,0.7181775164604187,0.01,0.44,4.743592796325683
25,0.76875,0.6960167600214482,0.01,0.67,1.12064603805542
26,0.76375,0.7119148513674736,0.01,0.67,1.0888661742210388
27,0.79375,0.5869405968487262,0.01,0.71,0.8536831283569336
28,0.82375,0.5732082112878562,0.01,0.68,0.9482448065280914
29,0.77875,0.6411446910351515,0.01,0.59,1.925621781349182
30,0.795,0.5877531327307224,0.01,0.66,0.9089831852912903
31,0.7925,0.602475534081459,0.01,0.73,1.0535389328002929
32,0.815,0.5651700930297374,0.01,0.7,0.9713283371925354
33,0.8175,0.5649401104450226,0.01,0.66,1.3313794231414795
34,0.835,0.5072391179949045,0.01,0.52,1.5632809495925903
35,0.83125,0.4881534585356712,0.01,0.67,1.3158922982215882
36,0.85875,0.4303726837784052,0.01,0.75,0.88996213555336
37,0.8475,0.4640063501894474,0.01,0.62,1.2739959311485292
38,0.83125,0.4965143084898591,0.01,0.44,4.388342370986939
39,0.85125,0.426371390838176,0.01,0.59,1.9224875783920288
40,0.85875,0.4439378708973527,0.01,0.63,1.439356586933136
41,0.84875,0.45878410633653405,0.01,0.49,1.7631293535232544
42,0.86625,0.3947537639737129,0.01,0.77,0.8511193633079529
43,0.85375,0.4455756697431207,0.01,0.72,1.0687913298606873
44,0.86875,0.38985735274851324,0.01,0.66,1.709796394109726
45,0.8775,0.3826573934033513,0.01,0.58,1.483711142539978
46,0.9125,0.31464693700894714,0.01,0.62,1.5859329032897949
47,0.88375,0.3684853669442236,0.01,0.84,0.603989719748497
48,0.90875,0.3114680775254965,0.01,0.68,1.23140050470829
49,0.91125,0.2772041362896562,0.01,0.59,1.5656654524803162
50,0.92625,0.24999436100013553,0.01,0.75,0.7566061356663704
51,0.905,0.33385781235992906,0.01,0.51,3.3267136669158934
52,0.8925,0.32392217306420207,0.01,0.7,0.9250207781791687
53,0.9275,0.2518465479463339,0.01,0.72,0.9678238093852997
54,0.9275,0.24781411682255566,0.01,0.66,1.073630964756012
55,0.91625,0.24079662677831948,0.01,0.63,1.9845443844795227
56,0.945,0.20345527796074747,0.01,0.76,0.7649345579743385
57,0.925,0.2263494423683733,0.01,0.7,1.2937288539111613
58,0.91875,0.23840804908424615,0.01,0.63,1.4454308795928954
59,0.91125,0.2640115332324058,0.01,0.9,0.3959958279132843
60,0.93625,0.21274893390014768,0.01,0.82,0.5757788726687432
61,0.9575,0.14784104662016034,0.005,0.76,0.8020217736065388
62,0.97125,0.12537241813726724,0.005,0.86,0.46614711739122866
63,0.97375,0.10661105474922807,0.005,0.86,0.4169650819897652
64,0.97125,0.10251303117489442,0.005,0.88,0.42316390573978424
65,0.98125,0.09093848221935331,0.005,0.83,0.7361161846667528
66,0.965,0.10260949767660349,0.005,0.83,0.5033864692598581
67,0.98375,0.09210624643135816,0.005,0.85,0.48299342423677444
68,0.9625,0.09984905081102624,0.005,0.85,0.48926985457539557
69,0.97625,0.11511590781621635,0.005,0.87,0.5136087450385094
70,0.98125,0.08051631609443576,0.0025,0.9,0.4073517083376646
71,0.9875,0.0625931001920253,0.0025,0.89,0.367187964618206
72,0.985,0.06709312598453834,0.0025,0.87,0.41459921535104516
73,1.0,0.03721276819473132,0.0025,0.88,0.3562755870819092
74,0.99125,0.06155787541065365,0.0025,0.86,0.4687704047560692
75,0.99125,0.04536606474779546,0.0025,0.89,0.4177340628579259
76,0.99125,0.043310195410158486,0.0025,0.88,0.40080904435366393
77,0.985,0.04895991815952584,0.0025,0.91,0.3489244228601456
78,0.99375,0.04744204431306571,0.00125,0.86,0.4299784033372998
79,0.985,0.06343713491922244,0.00125,0.88,0.4028681092523038
80,0.99125,0.03742019000230357,0.00125,0.91,0.3726989166252315
81,0.9975,0.02967674006940797,0.000625,0.91,0.33996098395437
82,0.98875,0.05107082512229681,0.000625,0.89,0.34038821663707497
83,0.99625,0.037426276094047355,0.000625,0.89,0.3612295196950436
84,0.99625,0.027030296054435896,0.000625,0.9,0.3322147624194622
85,0.99625,0.0336132835468743,0.000625,0.9,0.33541246546432374
86,0.99125,0.04132865039166063,0.000625,0.89,0.37991362769156695
87,0.995,0.033794335850980135,0.000625,0.89,0.3638474040105939
88,0.99375,0.03847579173278064,0.000625,0.87,0.415448814611882
89,0.9975,0.02525698596611619,0.0003125,0.89,0.36007951667532323
90,0.9925,0.04009259008103982,0.0003125,0.9,0.3710789718851447
91,0.99625,0.03037209779256955,0.0003125,0.87,0.36685958728194235
92,0.99625,0.031143657767679543,0.0003125,0.89,0.3515572016313672
93,0.99,0.03969600345590152,0.0003125,0.87,0.3505992921628058
94,0.99125,0.034113230864750224,0.00015625,0.87,0.3386983432620764
95,0.99625,0.033870584280230105,0.00015625,0.87,0.3464004925079644
